employee_id,employee_name,department,hire_date,termination_date,ytd_gross_pay,ytd_taxes_withheld,last_pay_date,is_active
EMP-00001,Dakota Garcia,HR,2024-01-03,,57136.53,8102.72,2025-12-02,True
EMP-00002,Sam Lee,Marketing,2019-02-05,,83670.95,15110.33,2025-12-31,True
EMP-00003,Taylor Garcia,Finance,2023-05-27,,151964.71,14335.74,2025-11-06,True
EMP-00004,Dakota Singh,Marketing,2016-11-14,,34647.03,7786.95,2025-11-12,True
EMP-00005,Avery Garcia,Engineering,2024-03-31,,52324.77,17143.68,2025-12-11,True
EMP-00006,Morgan Davis,Finance,2021-03-30,,97334.96,8178.17,2025-12-06,True
EMP-00007,Casey Jackson,Finance,2017-11-11,,60513.05,17247.44,2025-12-20,True
EMP-00008,Skyler Moore,Sales,2021-04-19,,85667.01,5628.13,2025-12-08,True
EMP-00009,Dakota Jackson,HR,2016-10-12,,76138.87,14771.52,2025-11-21,True
EMP-00010,Jamie Davis,Sales,2024-05-13,,36566.89,6981.88,2025-11-28,True
EMP-00011,Skyler Brown,HR,2016-12-06,,79596.56,17128.64,2025-11-23,True
EMP-00012,Riley Garcia,Ops,2020-06-25,,22331.78,26762.58,2025-12-16,True
EMP-00013,Morgan Jackson,Marketing,2015-12-19,,80611.48,13351.75,2025-11-27,True
EMP-00014,Jordan Taylor,Engineering,2015-11-15,,68980.91,7046.92,2025-11-30,True
EMP-00015,Reese Singh,Finance,2015-07-05,,67536.8,11510.14,2025-12-14,True
EMP-00016,Dakota Thomas,Marketing,2025-01-04,,44850.43,14592.04,2025-12-02,True
EMP-00017,Sam Singh,HR,2020-06-25,,44045.23,13725.34,2025-12-27,True
EMP-00018,Jamie Garcia,Engineering,2026-02-14,,85663.56,14162.57,2025-11-30,True
EMP-00019,Jordan Singh,Marketing,2015-04-21,,62975.79,7344.63,2025-11-03,True
EMP-00020,Jamie Thomas,HR,2022-01-27,,101169.31,7796.43,2025-12-22,True
