customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Dakota Patel,patient,623475746,contact1@dakotapatel.example,(833) 679-7077,US,6433.61,2020-04-09,True
CUST-00002,Jamie Lee,patient,936205966,contact2@jamielee.example,(656) 385-9331,US,6415.38,2025-08-06,True
CUST-00003,Quinn Lee,patient,192530520,contact3@quinnlee.example,(824) 392-9589,US,3945.94,2022-04-12,True
CUST-00004,Taylor Garcia,patient,328941666,contact4@taylorgarcia.example,(832) 257-8013,US,6288.67,2020-09-15,True
CUST-00005,Jordan Brown,patient,766898627,contact5@jordanbrown.example,(442) 794-9233,US,1797.74,2022-01-13,True
CUST-00006,Skyler Thomas,patient,566973944,contact6@skylerthomas.example,(603) 702-6002,US,5702.76,2022-01-17,True
CUST-00007,Dakota Davis,patient,415154103,contact7@dakotadavis.example,(593) 885-9559,US,2770.36,2020-04-01,True
CUST-00008,Casey Moore,patient,673533110,contact8@caseymoore.example,(632) 442-9496,US,2552.78,2022-09-05,True
CUST-00009,Jamie Thomas,patient,838924601,contact9@jamiethomas.example,(204) 927-1220,US,3339.16,2025-06-05,True
CUST-00010,Jamie Jackson,patient,402625539,contact10@jamiejackson.example,(797) 673-9135,US,11475.88,2020-12-11,True
CUST-00011,Morgan Miller,patient,757956922,contact11@morganmiller.example,(913) 780-2732,US,891.44,2023-05-25,True
CUST-00012,Sam Lee,patient,614685838,contact12@samlee.example,(778) 408-5917,US,9330.1,2020-10-17,True
CUST-00013,Avery Taylor,patient,585283241,contact13@averytaylor.example,(966) 254-8949,US,2356.88,2023-03-14,True
CUST-00014,Taylor Davis,patient,722117507,contact14@taylordavis.example,(638) 930-2365,US,1296.6,2025-12-05,True
CUST-00015,Alex Lee,patient,535758702,contact15@alexlee.example,(796) 476-9370,US,4114.18,2020-07-16,True
CUST-00016,Skyler Thomas,patient,311642197,contact16@skylerthomas.example,(315) 608-8887,US,1529.34,2020-10-17,True
CUST-00017,Casey Lee,patient,123392268,contact17@caseylee.example,(872) 250-9603,US,3462.84,2020-02-06,True
CUST-00018,Alex Thomas,patient,696463444,contact18@alexthomas.example,(657) 289-3613,US,5216.84,2024-03-20,True
CUST-00019,Avery Moore,patient,801267981,contact19@averymoore.example,(922) 936-6229,US,2375.68,2020-09-29,True
CUST-00020,Morgan Thomas,patient,396146103,contact20@morganthomas.example,(544) 920-3190,US,7710.07,2023-06-26,True
CUST-00021,Dakota Taylor,patient,145592444,contact21@dakotataylor.example,(824) 844-3721,US,5993.78,2025-02-19,True
CUST-00022,Avery Lee,patient,285025160,contact22@averylee.example,(287) 587-2061,US,1735.95,2023-01-21,True
CUST-00023,Taylor Davis,patient,931672716,contact23@taylordavis.example,(971) 884-9835,US,2104.63,2024-11-04,True
CUST-00024,Taylor Patel,patient,303012451,contact24@taylorpatel.example,(306) 327-5112,US,20867.04,2020-07-20,True
CUST-00025,Dakota Moore,patient,274928173,contact25@dakotamoore.example,(419) 275-5452,US,2002.99,2023-08-02,True
CUST-00026,Jamie Patel,patient,720055527,contact26@jamiepatel.example,(943) 491-1921,US,2134.51,2020-06-07,True
CUST-00027,Sam Brown,patient,317056884,contact27@sambrown.example,(498) 362-9141,US,2393.06,2023-12-07,True
