customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Jordan Taylor,patient,156588006,contact1@jordantaylor.example,(697) 840-9915,US,2503.25,2025-12-29,True
CUST-00002,Morgan Garcia,patient,183051508,contact2@morgangarcia.example,(949) 655-7067,US,8251.52,2023-05-07,True
CUST-00003,Casey Taylor,patient,559130285,contact3@caseytaylor.example,(561) 917-4368,US,3259.28,2023-12-03,True
CUST-00004,Sam Wilson,patient,522516714,contact4@samwilson.example,(975) 208-4601,US,4637.46,2022-07-27,True
CUST-00005,Jordan Jackson,patient,992210661,contact5@jordanjackson.example,(268) 335-9170,US,4726.75,2021-02-01,True
CUST-00006,Quinn Jackson,patient,815043464,contact6@quinnjackson.example,(510) 362-8708,US,2887.49,2021-06-04,True
CUST-00007,Sam Taylor,patient,265312251,contact7@samtaylor.example,(889) 710-5853,US,2614.16,2023-04-13,True
CUST-00008,Morgan Wilson,patient,634794856,contact8@morganwilson.example,(747) 644-5953,US,16454.02,2020-07-07,True
CUST-00009,Avery Davis,patient,564991214,contact9@averydavis.example,(902) 390-6772,US,2355.26,2021-09-09,True
CUST-00010,Sam Miller,patient,324117298,contact10@sammiller.example,(323) 530-1942,US,6594.34,2020-06-22,True
CUST-00011,Jordan Jackson,patient,515717096,contact11@jordanjackson.example,(748) 255-7629,US,3029.69,2021-10-16,True
CUST-00012,Riley Patel,patient,684589054,contact12@rileypatel.example,(259) 292-9278,US,14739.75,2020-08-27,True
CUST-00013,Casey Moore,patient,568519748,contact13@caseymoore.example,(605) 890-3884,US,14854.0,2024-05-23,True
CUST-00014,Taylor Moore,patient,466579424,contact14@taylormoore.example,(771) 773-9618,US,9058.71,2025-09-30,True
CUST-00015,Quinn Moore,patient,161775174,contact15@quinnmoore.example,(562) 805-4547,US,3054.62,2021-03-13,True
CUST-00016,Dakota Moore,patient,750476872,contact16@dakotamoore.example,(677) 517-2724,US,4274.84,2025-02-14,True
CUST-00017,Jordan Taylor,patient,330620255,contact17@jordantaylor.example,(966) 246-5410,US,3197.63,2025-02-02,True
CUST-00018,Riley Wilson,patient,537865328,contact18@rileywilson.example,(765) 397-6892,US,6234.68,2021-07-05,True
CUST-00019,Casey Anderson,patient,456762038,contact19@caseyanderson.example,(861) 614-1684,US,7792.31,2021-11-25,True
CUST-00020,Riley Garcia,patient,780408847,contact20@rileygarcia.example,(990) 780-7075,US,5539.43,2024-11-02,True
CUST-00021,Morgan Moore,patient,265101577,contact21@morganmoore.example,(975) 726-1892,US,2779.06,2022-11-09,True
CUST-00022,Dakota Lee,patient,624342314,contact22@dakotalee.example,(927) 449-3964,US,22015.62,2022-08-26,True
CUST-00023,Skyler Davis,patient,774211566,contact23@skylerdavis.example,(266) 563-1648,US,4432.81,2021-08-11,True
CUST-00024,Taylor Taylor,patient,372666064,contact24@taylortaylor.example,(852) 583-5299,US,1963.76,2025-09-04,True
CUST-00025,Riley Jackson,patient,949466826,contact25@rileyjackson.example,(916) 789-8622,US,4153.33,2020-10-15,True
CUST-00026,Sam Singh,patient,591206528,contact26@samsingh.example,(739) 606-8616,US,8364.79,2023-10-22,True
CUST-00027,Skyler Davis,patient,788886543,contact27@skylerdavis.example,(327) 838-8103,US,9708.79,2024-01-07,True
CUST-00028,Jordan Patel,patient,880369033,contact28@jordanpatel.example,(894) 892-7117,US,3615.2,2021-03-26,True
CUST-00029,Morgan Thomas,patient,307368471,contact29@morganthomas.example,(589) 913-6917,US,1331.12,2025-09-19,True
CUST-00030,Taylor Lee,patient,182630334,contact30@taylorlee.example,(650) 736-9237,US,3412.32,2024-04-04,True
CUST-00031,Jordan Taylor,patient,537017649,contact31@jordantaylor.example,(964) 833-2779,US,6188.37,2020-10-11,True
CUST-00032,Casey Miller,patient,770330963,contact32@caseymiller.example,(960) 535-5736,US,7959.87,2022-06-11,True
CUST-00033,Alex Patel,patient,935571867,contact33@alexpatel.example,(309) 206-3575,US,12938.67,2021-01-11,True
CUST-00034,Riley Miller,patient,126991761,contact34@rileymiller.example,(219) 683-3345,US,2748.6,2021-08-20,True
CUST-00035,Riley Garcia,patient,195028185,contact35@rileygarcia.example,(599) 881-4943,US,1861.72,2020-08-14,True
CUST-00036,Avery Anderson,patient,245051416,contact36@averyanderson.example,(309) 729-6704,US,1591.04,2024-12-16,True
CUST-00037,Reese Taylor,patient,816717733,contact37@reesetaylor.example,(522) 465-6546,US,1306.27,2020-10-17,True
CUST-00038,Sam Thomas,patient,790366165,contact38@samthomas.example,(750) 745-2148,US,2051.26,2025-05-01,True
CUST-00039,Taylor Singh,patient,882637999,contact39@taylorsingh.example,(692) 489-4548,US,2153.58,2024-06-03,True
CUST-00040,Jordan Singh,patient,826077381,contact40@jordansingh.example,(993) 430-9145,US,5690.24,2023-06-20,True
CUST-00041,Dakota Brown,patient,160794354,contact41@dakotabrown.example,(285) 363-5648,US,17003.14,2020-08-10,True
CUST-00042,Casey Anderson,patient,237745717,contact42@caseyanderson.example,(637) 309-7683,US,3534.16,2025-03-29,True
CUST-00043,Alex Garcia,patient,600593284,contact43@alexgarcia.example,(491) 917-7749,US,5666.98,2024-05-18,True
CUST-00044,Quinn Miller,patient,337923929,contact44@quinnmiller.example,(282) 422-3729,US,22415.45,2022-05-19,True
