vendor_id,vendor_name,tax_id,payment_terms,bank_account_last4,contact_email,country,is_1099,created_at,is_active
VEND-00001,Bluth Industries,352575510,DUE_ON_RECEIPT,1276,ar@bluthindustries.example,US,False,2025-03-22,True
VEND-00002,Bluth Systems,711809859,NET60,5825,ar@bluthsystems.example,US,True,2024-06-08,True
VEND-00003,Cyberdyne Inc,844410819,NET60,3727,ar@cyberdyneinc.example,US,True,2019-06-26,True
VEND-00004,Stark LLC,532555468,NET45,3161,ar@starkllc.example,US,True,2019-03-19,True
VEND-00005,Sterling Systems,780536567,DUE_ON_RECEIPT,2427,ar@sterlingsystems.example,US,False,2019-03-05,True
VEND-00006,Pied Enterprises,607683243,NET60,8876,ar@piedenterprises.example,US,True,2019-10-11,True
VEND-00007,Stark Group,392259718,NET45,6271,ar@starkgroup.example,US,True,2022-05-11,True
VEND-00008,Cyberdyne Industries,602068971,NET60,8769,ar@cyberdyneindustries.example,US,False,2024-03-12,True
VEND-00009,Hooli LLC,440864101,NET30,9352,ar@hoolillc.example,US,False,2024-12-01,True
VEND-00010,Wonka Systems,535195544,NET45,2443,ar@wonkasystems.example,US,True,2020-05-07,True
VEND-00011,Soylent Inc,177231686,DUE_ON_RECEIPT,5968,ar@soylentinc.example,US,True,2023-04-18,True
VEND-00012,Krusty LLC,474825845,NET60,6412,ar@krustyllc.example,US,False,2020-11-21,True
VEND-00013,Krusty Partners,607725017,NET60,3767,ar@krustypartners.example,US,True,2024-09-22,True
VEND-00014,Acme Holdings,333930232,NET60,3941,ar@acmeholdings.example,US,True,2021-06-02,True
VEND-00015,Dunder Group,896218542,NET60,6236,ar@dundergroup.example,US,False,2019-08-12,True
VEND-00016,Dunder Industries,722139399,NET60,5019,ar@dunderindustries.example,US,True,2021-12-19,True
VEND-00017,Bluth Solutions,502957454,NET30,4131,ar@bluthsolutions.example,US,False,2019-06-28,True
VEND-00018,Globex Inc,210337230,NET30,3864,ar@globexinc.example,US,True,2025-06-18,True
VEND-00019,Stark Partners,596759179,NET30,8509,ar@starkpartners.example,US,False,2021-11-15,True
VEND-00020,Stark LLC,487236949,NET45,3846,ar@starkllc.example,US,True,2020-02-11,True
VEND-00021,Tyrell Industries,361030125,DUE_ON_RECEIPT,5274,ar@tyrellindustries.example,US,True,2020-08-30,True
VEND-00022,Vandelay Systems,897236183,NET60,7155,ar@vandelaysystems.example,US,True,2025-06-13,True
VEND-00023,Vandelay Systems,200073008,NET60,8470,ar@vandelaysystems.example,US,False,2022-03-16,True
VEND-00024,Dunder Holdings,526790686,NET30,1565,ar@dunderholdings.example,US,True,2022-01-03,True
