customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Initech LLC,business,659418715,contact1@initechllc.example,(398) 816-7134,US,4742.01,2022-10-01,True
CUST-00002,Tyrell Corp,business,723483946,contact2@tyrellcorp.example,(834) 587-7294,US,7895.53,2020-08-15,True
CUST-00003,Umbrella Systems,business,769226506,contact3@umbrellasystems.example,(752) 965-9889,US,2349.33,2023-12-31,True
CUST-00004,Dunder Holdings,business,159545809,contact4@dunderholdings.example,(940) 671-2118,US,6731.4,2022-04-27,True
CUST-00005,Massive Inc,business,399196079,contact5@massiveinc.example,(201) 270-7727,US,1012.77,2023-07-21,True
CUST-00006,Bluth Holdings,business,898380015,contact6@bluthholdings.example,(272) 563-4743,US,16087.13,2022-11-17,True
CUST-00007,Initech Industries,business,106588716,contact7@initechindustries.example,(348) 799-3938,US,2267.76,2025-06-10,True
CUST-00008,Dunder Holdings,business,215439155,contact8@dunderholdings.example,(576) 794-7081,US,5041.01,2021-01-06,True
CUST-00009,Umbrella Corp,business,832595644,contact9@umbrellacorp.example,(482) 240-2007,US,8968.48,2024-05-23,True
CUST-00010,Soylent Group,business,239193097,contact10@soylentgroup.example,(409) 748-8423,US,4652.45,2023-04-17,True
CUST-00011,Krusty Enterprises,business,633433499,contact11@krustyenterprises.example,(316) 610-9850,US,6436.44,2023-08-29,True
CUST-00012,Pied Corp,business,303274335,contact12@piedcorp.example,(948) 465-1838,US,7172.41,2025-01-27,True
CUST-00013,Hooli Inc,business,462498985,contact13@hooliinc.example,(359) 711-4435,US,3836.83,2020-03-10,True
CUST-00014,Cyberdyne Inc,business,172081500,contact14@cyberdyneinc.example,(348) 419-8819,US,6821.61,2024-11-03,True
CUST-00015,Hooli Holdings,business,720445147,contact15@hooliholdings.example,(650) 498-5787,US,6818.26,2020-07-19,True
CUST-00016,Initech LLC,business,123609650,contact16@initechllc.example,(860) 539-7446,US,4392.43,2022-04-17,True
CUST-00017,Wayne Enterprises,business,733174652,contact17@wayneenterprises.example,(274) 537-2005,US,2772.29,2023-02-14,True
CUST-00018,Globex Holdings,business,259064962,contact18@globexholdings.example,(916) 456-4400,US,7260.13,2024-03-28,True
CUST-00019,Wayne Industries,business,610513507,contact19@wayneindustries.example,(875) 555-6006,US,6547.01,2023-01-20,True
CUST-00020,Wonka Group,business,651254026,contact20@wonkagroup.example,(791) 616-7629,US,6384.92,2024-08-11,True
CUST-00021,Globex Group,business,409370472,contact21@globexgroup.example,(692) 644-6630,US,4460.85,2025-03-18,True
CUST-00022,Soylent Partners,business,436097613,contact22@soylentpartners.example,(699) 847-9151,US,4172.32,2020-11-05,True
CUST-00023,Globex Enterprises,business,201682474,contact23@globexenterprises.example,(469) 844-6128,US,5839.31,2022-09-11,True
CUST-00024,Acme Industries,business,421418696,contact24@acmeindustries.example,(237) 763-4955,US,10553.62,2025-05-29,True
CUST-00025,Wayne Enterprises,business,730263214,contact25@wayneenterprises.example,(699) 832-3981,US,1970.01,2023-09-20,True
CUST-00026,Cyberdyne Inc,business,628478260,contact26@cyberdyneinc.example,(843) 985-8222,US,8404.14,2025-11-23,True
CUST-00027,Bluth Partners,business,703591072,contact27@bluthpartners.example,(822) 452-4686,US,12046.08,2022-06-08,True
CUST-00028,Globex Corp,business,893255908,contact28@globexcorp.example,(711) 911-3747,US,4761.65,2025-07-01,True
CUST-00029,Massive Solutions,business,108994881,contact29@massivesolutions.example,(573) 239-6663,US,2536.3,2022-10-07,True
CUST-00030,Acme Partners,business,874271352,contact30@acmepartners.example,(292) 540-2861,US,7495.84,2025-01-12,True
CUST-00031,Tyrell Industries,business,917160125,contact31@tyrellindustries.example,(600) 558-3460,US,12570.27,2023-11-28,True
CUST-00032,Hooli Inc,business,389972004,contact32@hooliinc.example,(604) 687-8536,US,6215.94,2020-11-17,True
CUST-00033,Umbrella Corp,business,135058752,contact33@umbrellacorp.example,(891) 496-5140,US,1745.88,2025-06-26,True
CUST-00034,Globex Partners,business,551623830,contact34@globexpartners.example,(600) 836-8876,US,1103.3,2025-12-05,True
CUST-00035,Soylent Holdings,business,891863835,contact35@soylentholdings.example,(806) 647-9865,US,20611.84,2021-08-02,True
CUST-00036,Cyberdyne Systems,business,392616084,contact36@cyberdynesystems.example,(237) 802-4495,US,1144.94,2021-01-27,True
CUST-00037,Acme Corp,business,169536944,contact37@acmecorp.example,(765) 250-1509,US,6072.19,2021-11-29,True
CUST-00038,Umbrella Partners,business,777549143,contact38@umbrellapartners.example,(585) 666-6167,US,10163.44,2024-05-09,True
CUST-00039,Stark Systems,business,771171317,contact39@starksystems.example,(562) 515-7761,US,4630.19,2023-11-02,True
CUST-00040,Soylent Enterprises,business,187303441,contact40@soylententerprises.example,(225) 375-1057,US,2462.18,2024-01-19,True
CUST-00041,Vandelay Partners,business,132859521,contact41@vandelaypartners.example,(665) 501-6576,US,2993.48,2025-05-02,True
CUST-00042,Initech Corp,business,337308503,contact42@initechcorp.example,(456) 412-2932,US,8640.29,2022-02-01,True
CUST-00043,Bluth Holdings,business,352336277,contact43@bluthholdings.example,(385) 871-8648,US,5312.39,2021-03-08,True
CUST-00044,Initech Enterprises,business,978789121,contact44@initechenterprises.example,(569) 423-3285,US,2903.33,2025-12-12,True
CUST-00045,Pied Group,business,347636767,contact45@piedgroup.example,(585) 688-8061,US,4611.9,2021-04-27,True
CUST-00046,Wonka Corp,business,139449817,contact46@wonkacorp.example,(826) 290-9732,US,11125.41,2020-07-31,True
CUST-00047,Wonka Group,business,254923830,contact47@wonkagroup.example,(993) 215-8143,US,2343.81,2022-08-19,True
CUST-00048,Umbrella Industries,business,166888933,contact48@umbrellaindustries.example,(710) 971-3666,US,9258.64,2020-04-05,True
CUST-00049,Initech Corp,business,726953445,contact49@initechcorp.example,(642) 478-9177,US,5307.6,2020-11-13,True
CUST-00050,Krusty Industries,business,797682646,contact50@krustyindustries.example,(619) 928-4468,US,15320.13,2025-07-29,True
CUST-00051,Vandelay Industries,business,989323886,contact51@vandelayindustries.example,(726) 422-8411,US,2030.66,2022-11-09,True
CUST-00052,Krusty Systems,business,802471770,contact52@krustysystems.example,(442) 466-9785,US,14829.84,2022-04-11,True
CUST-00053,Soylent Holdings,business,673066145,contact53@soylentholdings.example,(661) 880-2458,US,3290.99,2020-07-15,True
CUST-00054,Bluth Inc,business,387580053,contact54@bluthinc.example,(282) 631-8496,US,3796.75,2025-04-21,True
CUST-00055,Krusty Partners,business,423160923,contact55@krustypartners.example,(657) 391-6599,US,10350.95,2025-05-18,True
CUST-00056,Initech Corp,business,927051554,contact56@initechcorp.example,(604) 812-5325,US,5508.6,2024-12-26,True
CUST-00057,Vandelay Enterprises,business,423280440,contact57@vandelayenterprises.example,(905) 301-7307,US,3324.02,2024-04-16,True
CUST-00058,Umbrella Inc,business,203255634,contact58@umbrellainc.example,(734) 238-4754,US,7745.8,2021-04-09,True
CUST-00059,Vandelay Holdings,business,910199287,contact59@vandelayholdings.example,(980) 226-9283,US,4981.99,2023-03-20,True
CUST-00060,Initech Holdings,business,492211133,contact60@initechholdings.example,(472) 561-6966,US,6150.62,2021-12-30,True
CUST-00061,Wonka Systems,business,918612263,contact61@wonkasystems.example,(238) 934-6932,US,1754.03,2020-03-23,True
CUST-00062,Vandelay Inc,business,280707157,contact62@vandelayinc.example,(572) 200-9848,US,4765.3,2021-11-01,True
CUST-00063,Dunder Inc,business,358948185,contact63@dunderinc.example,(611) 414-9726,US,3372.66,2020-12-28,True
CUST-00064,Massive Partners,business,459388103,contact64@massivepartners.example,(523) 580-4928,US,7416.47,2024-07-16,True
CUST-00065,Umbrella Partners,business,732300158,contact65@umbrellapartners.example,(651) 590-9526,US,12098.31,2021-04-08,True
CUST-00066,Dunder Systems,business,866733228,contact66@dundersystems.example,(475) 486-7751,US,8871.93,2020-02-24,True
CUST-00067,Bluth Partners,business,414982272,contact67@bluthpartners.example,(771) 524-1644,US,5395.61,2020-06-20,True
CUST-00068,Hooli LLC,business,990808180,contact68@hoolillc.example,(673) 338-4639,US,12073.53,2024-05-19,True
