employee_id,employee_name,department,hire_date,termination_date,ytd_gross_pay,ytd_taxes_withheld,last_pay_date,is_active
EMP-00001,Riley Jackson,HR,2021-06-27,,35466.48,8586.72,2025-12-11,True
EMP-00002,Taylor Patel,Sales,2023-03-15,,138878.44,6522.84,2025-12-06,True
EMP-00003,Jordan Jackson,Sales,2020-12-13,,40943.75,6677.27,2025-12-08,True
EMP-00004,Jamie Davis,Finance,2018-01-20,,96631.23,13541.13,2025-12-29,True
EMP-00005,Casey Moore,Ops,2015-11-08,,70558.73,21391.39,2025-11-15,True
EMP-00006,Morgan Patel,Sales,2019-08-30,,60303.77,13460.77,2025-11-24,True
EMP-00007,Dakota Jackson,Sales,2020-07-10,,69854.71,7725.73,2025-12-01,True
EMP-00008,Taylor Anderson,Ops,2021-05-22,,44708.62,13844.84,2025-11-30,True
EMP-00009,Alex Singh,Engineering,2016-07-09,,96527.27,28951.0,2025-12-13,True
EMP-00010,Sam Anderson,Engineering,2025-08-11,,94990.19,9701.78,2025-11-03,True
EMP-00011,Reese Miller,Engineering,2017-04-12,,27456.93,15047.25,2025-12-21,True
EMP-00012,Quinn Miller,Ops,2023-06-24,,47331.43,11402.84,2025-12-22,True
EMP-00013,Quinn Taylor,HR,2018-06-11,,45301.5,21792.14,2025-11-14,True
EMP-00014,Skyler Davis,Marketing,2019-09-10,,111431.41,13198.2,2025-12-27,True
EMP-00015,Alex Wilson,Marketing,2020-01-17,,83346.35,17377.16,2025-12-03,True
EMP-00016,Reese Patel,Marketing,2023-05-22,,81409.48,25757.98,2025-11-22,True
EMP-00017,Reese Davis,Ops,2021-05-08,,126864.72,23156.44,2025-12-24,True
EMP-00018,Riley Davis,Finance,2022-06-17,,33473.03,14836.66,2025-12-23,True
EMP-00019,Morgan Moore,Engineering,2024-01-04,,32868.43,30705.24,2025-11-06,True
EMP-00020,Alex Miller,Finance,2026-02-14,,42749.35,13017.12,2025-11-29,True
