vendor_id,vendor_name,tax_id,payment_terms,bank_account_last4,contact_email,country,is_1099,created_at,is_active
VEND-00001,Dunder Partners,706737060,NET45,1130,ar@dunderpartners.example,US,True,2023-06-23,True
VEND-00002,Krusty Partners,220734358,NET45,4436,ar@krustypartners.example,US,False,2020-06-28,True
VEND-00003,Globex LLC,419506772,NET30,2148,ar@globexllc.example,US,False,2022-11-13,True
VEND-00004,Initech Partners,250698193,NET30,1022,ar@initechpartners.example,US,True,2019-02-08,True
VEND-00005,Initech Systems,790501928,DUE_ON_RECEIPT,1836,ar@initechsystems.example,US,True,2024-11-19,True
VEND-00006,Hooli Enterprises,,NET30,4580,ar@hoolienterprises.example,US,False,2023-11-20,True
VEND-00007,Massive Solutions,407853775,NET30,6525,ar@massivesolutions.example,US,True,2023-07-10,True
VEND-00008,Soylent Industries,695054071,NET30,9184,ar@soylentindustries.example,US,False,2024-02-07,True
VEND-00009,Bluth Holdings,482795926,NET30,7498,ar@bluthholdings.example,US,False,2022-12-09,True
VEND-00010,Massive Partners,555491713,NET60,6579,ar@massivepartners.example,US,False,2021-07-14,True
VEND-00011,Initech Corp,826343137,DUE_ON_RECEIPT,7893,ar@initechcorp.example,US,True,2019-12-09,True
VEND-00012,Hooli Partners,349570660,NET30,4714,ar@hoolipartners.example,US,True,2019-03-06,True
VEND-00013,Sterling Systems,258260289,NET60,7112,ar@sterlingsystems.example,US,False,2022-07-25,True
VEND-00014,Wonka Inc,899971362,NET60,6351,ar@wonkainc.example,US,False,2022-04-27,True
VEND-00015,Wonka Corp,141389548,DUE_ON_RECEIPT,2914,ar@wonkacorp.example,US,True,2023-01-10,True
VEND-00016,Umbrella Systems,609987614,DUE_ON_RECEIPT,3819,ar@umbrellasystems.example,US,False,2019-04-14,True
VEND-00017,Pied Group,587964597,DUE_ON_RECEIPT,6275,ar@piedgroup.example,US,False,2021-10-08,True
VEND-00018,Acme Enterprises,960104030,NET45,6481,ar@acmeenterprises.example,US,False,2024-07-25,True
VEND-00019,Bluth Systems,663484779,NET30,8909,ar@bluthsystems.example,US,True,2024-07-18,True
VEND-00020,Dunder Systems,168639472,NET30,3576,ar@dundersystems.example,US,True,2024-02-23,True
VEND-00021,Massive Partners,837640290,NET60,5905,ar@massivepartners.example,US,False,2022-11-14,True
VEND-00022,Krusty Systems,886311804,DUE_ON_RECEIPT,7597,ar@krustysystems.example,US,False,2022-08-07,True
VEND-00023,Pied Partners,526413695,NET30,4431,ar@piedpartners.example,US,False,2022-08-18,True
VEND-00024,Tyrell Systems,795845321,NET60,2661,ar@tyrellsystems.example,US,False,2020-04-01,True
VEND-00025,Initech Enterprises,181231856,NET45,5702,ar@initechenterprises.example,US,True,2025-04-19,True
VEND-00026,Wayne LLC,275912193,NET45,8520,ar@waynellc.example,US,False,2020-05-10,True
VEND-00027,Umbrella Group,768343635,NET45,1599,ar@umbrellagroup.example,US,True,2020-10-23,True
VEND-00028,Initech Partners,401579132,NET30,3447,ar@initechpartners.example,US,False,2021-06-09,True
VEND-00029,Umbrella Holdings,705986264,NET60,2639,ar@umbrellaholdings.example,US,True,2019-02-03,True
VEND-00030,Stark LLC,879980482,NET30,8783,ar@starkllc.example,US,False,2024-04-28,True
VEND-00031,Pied Holdings,919552921,NET30,3453,ar@piedholdings.example,US,True,2023-03-27,True
VEND-00032,Dunder Inc,915795783,NET60,2358,ar@dunderinc.example,US,False,2025-01-22,True
VEND-00033,Wonka Industries,778664717,NET45,1530,ar@wonkaindustries.example,US,False,2020-05-10,True
VEND-00034,Umbrella Group,310087941,NET30,1195,ar@umbrellagroup.example,US,True,2024-02-13,True
VEND-00035,Wonka Industries,910267929,NET45,3930,ar@wonkaindustries.example,US,True,2023-01-31,True
VEND-00036,Globex Solutions,687028984,DUE_ON_RECEIPT,2149,ar@globexsolutions.example,US,True,2021-11-15,True
VEND-00037,Soylent Industries,562028184,NET60,7965,ar@soylentindustries.example,US,False,2023-12-06,True
VEND-00038,Pied Group,965151074,NET30,1655,ar@piedgroup.example,US,True,2025-08-04,True
VEND-00039,Massive Industries,545083738,NET60,3009,ar@massiveindustries.example,US,True,2024-09-18,True
VEND-00040,Hooli Group,357159752,NET30,1502,ar@hooligroup.example,US,False,2023-03-14,True
VEND-00041,Wayne LLC.,275912193,NET45,8520,ar@waynellc.example,US,False,2020-05-10,True
