customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Wayne Corp,business,631843365,contact1@waynecorp.example,(923) 317-4597,US,24287.89,2021-03-02,True
CUST-00002,Soylent Group,business,669364964,contact2@soylentgroup.example,(809) 864-5672,US,2011.22,2021-04-14,True
CUST-00003,Pied Enterprises,business,551304570,contact3@piedenterprises.example,(684) 964-2188,US,3507.63,2021-06-21,True
CUST-00004,Stark Partners,business,938656923,contact4@starkpartners.example,(595) 759-6352,US,14575.58,2022-12-21,True
CUST-00005,Vandelay LLC,business,355169744,contact5@vandelayllc.example,(794) 661-8831,US,14595.04,2024-04-24,True
CUST-00006,Soylent Systems,business,917326285,contact6@soylentsystems.example,(733) 823-9011,US,4474.07,2022-03-19,True
CUST-00007,Massive Partners,business,430219261,contact7@massivepartners.example,(782) 684-8781,US,3347.93,2023-10-30,True
CUST-00008,Globex Enterprises,business,896973122,contact8@globexenterprises.example,(258) 602-2723,US,5630.03,2020-02-22,True
CUST-00009,Tyrell Solutions,business,150147892,contact9@tyrellsolutions.example,(915) 554-7993,US,15451.99,2025-11-13,True
CUST-00010,Tyrell Holdings,business,423460785,contact10@tyrellholdings.example,(551) 368-8298,US,2022.53,2020-12-29,True
CUST-00011,Pied Enterprises,business,445573149,contact11@piedenterprises.example,(401) 514-1140,US,5338.34,2022-01-01,True
CUST-00012,Tyrell LLC,business,435431723,contact12@tyrellllc.example,(828) 460-4456,US,7206.62,2024-09-18,True
CUST-00013,Acme Systems,business,579323185,contact13@acmesystems.example,(458) 896-3308,US,13057.18,2022-07-19,True
CUST-00014,Pied Industries,business,737510720,contact14@piedindustries.example,(680) 428-1247,US,7982.84,2023-09-17,True
CUST-00015,Dunder Partners,business,283376756,contact15@dunderpartners.example,(583) 922-5958,US,3070.15,2023-09-29,True
CUST-00016,Globex Enterprises,business,342113417,contact16@globexenterprises.example,(700) 593-7692,US,3386.35,2025-08-22,True
CUST-00017,Stark Inc,business,719014589,contact17@starkinc.example,(541) 203-8335,US,3832.91,2022-12-27,True
CUST-00018,Krusty Holdings,business,942441214,contact18@krustyholdings.example,(943) 978-7730,US,3609.9,2021-05-16,True
CUST-00019,Cyberdyne LLC,business,569149985,contact19@cyberdynellc.example,(294) 767-9837,US,1332.06,2023-09-07,True
CUST-00020,Krusty Partners,business,199066736,contact20@krustypartners.example,(944) 207-2870,US,6757.02,2022-09-27,True
CUST-00021,Stark Industries,business,344348766,contact21@starkindustries.example,(623) 732-9025,US,11846.97,2023-08-14,True
CUST-00022,Massive Solutions,business,759868984,contact22@massivesolutions.example,(303) 291-4524,US,8094.91,2022-02-05,True
CUST-00023,Hooli Corp,business,722169685,contact23@hoolicorp.example,(265) 475-6275,US,3083.07,2021-02-24,True
CUST-00024,Bluth Solutions,business,738902112,contact24@bluthsolutions.example,(658) 307-7847,US,4445.6,2021-09-10,True
CUST-00025,Tyrell Holdings,business,483549582,contact25@tyrellholdings.example,(759) 654-8727,US,11233.56,2024-02-16,True
CUST-00026,Tyrell Systems,business,562423054,contact26@tyrellsystems.example,(964) 499-5073,US,2829.75,2023-08-23,True
CUST-00027,Vandelay Holdings,business,526696695,contact27@vandelayholdings.example,(623) 940-5826,US,11068.6,2025-04-29,True
CUST-00028,Hooli Solutions,business,584452948,contact28@hoolisolutions.example,(346) 641-2639,US,25194.31,2023-01-07,True
CUST-00029,Dunder Inc,business,317113675,contact29@dunderinc.example,(578) 362-9467,US,2734.84,2020-03-24,True
CUST-00030,Krusty Group,business,106511519,contact30@krustygroup.example,(551) 882-2441,US,5191.8,2020-03-15,True
CUST-00031,Soylent Inc,business,530046335,contact31@soylentinc.example,(208) 553-8690,US,3780.21,2023-05-03,True
CUST-00032,Cyberdyne Inc,business,855991640,contact32@cyberdyneinc.example,(357) 299-1642,US,2616.14,2023-04-22,True
CUST-00033,Vandelay Corp,business,505538385,contact33@vandelaycorp.example,(898) 788-8784,US,2244.19,2022-02-28,True
CUST-00034,Krusty Corp,business,404467790,contact34@krustycorp.example,(475) 947-6709,US,6588.27,2022-09-22,True
CUST-00035,Acme Inc,business,963564000,contact35@acmeinc.example,(461) 740-8147,US,17560.95,2022-03-21,True
CUST-00036,Stark LLC,business,434840970,contact36@starkllc.example,(200) 717-1650,US,4683.22,2024-10-15,True
CUST-00037,Umbrella Solutions,business,178870519,contact37@umbrellasolutions.example,(825) 367-6023,US,9627.23,2020-06-14,True
CUST-00038,Vandelay Partners,business,866642928,contact38@vandelaypartners.example,(743) 265-1811,US,3246.57,2025-10-28,True
CUST-00039,Umbrella Corp,business,830757597,contact39@umbrellacorp.example,(623) 270-1540,US,4842.4,2021-12-21,True
CUST-00040,Soylent Holdings,business,454295416,contact40@soylentholdings.example,(324) 384-3379,US,3205.79,2020-06-12,True
