vendor_id,vendor_name,tax_id,payment_terms,bank_account_last4,contact_email,country,is_1099,created_at,is_active
VEND-00001,Wonka Industries,424716504,NET45,9641,ar@wonkaindustries.example,US,False,2021-11-25,True
VEND-00002,Cyberdyne Systems,165925444,NET60,9602,ar@cyberdynesystems.example,US,False,2025-01-23,True
VEND-00003,Acme Enterprises,194561490,NET30,3282,ar@acmeenterprises.example,US,False,2023-04-01,True
VEND-00004,Acme Corp,358300485,DUE_ON_RECEIPT,7820,ar@acmecorp.example,US,True,2022-01-06,True
VEND-00005,Wonka Systems,274069116,NET30,1668,ar@wonkasystems.example,US,True,2021-09-01,True
VEND-00006,Wonka Solutions,289038387,NET60,8138,ar@wonkasolutions.example,US,False,2020-10-02,True
VEND-00007,Sterling Partners,279968358,DUE_ON_RECEIPT,1100,ar@sterlingpartners.example,US,True,2024-07-18,True
VEND-00008,Dunder Corp,627161402,DUE_ON_RECEIPT,6004,ar@dundercorp.example,US,True,2019-04-22,True
VEND-00009,Cyberdyne LLC,706434956,NET45,5028,ar@cyberdynellc.example,US,True,2023-01-17,True
VEND-00010,Cyberdyne Industries,305287897,NET60,2748,ar@cyberdyneindustries.example,US,False,2024-08-23,True
VEND-00011,Stark Systems,603898014,NET30,3925,ar@starksystems.example,US,False,2023-11-08,True
VEND-00012,Cyberdyne Solutions,989228911,NET60,2842,ar@cyberdynesolutions.example,US,False,2020-10-07,True
VEND-00013,Wonka Group,171871103,NET60,2018,ar@wonkagroup.example,US,False,2023-07-17,True
VEND-00014,Bluth Group,789513163,NET45,3949,ar@bluthgroup.example,US,True,2021-03-20,True
VEND-00015,Dunder Enterprises,580541196,NET45,1477,ar@dunderenterprises.example,US,False,2021-12-27,True
VEND-00016,Tyrell Group,978437696,NET30,7751,ar@tyrellgroup.example,US,False,2022-03-16,True
VEND-00017,Soylent Systems,354056116,NET45,6932,ar@soylentsystems.example,US,False,2020-10-25,True
VEND-00018,Bluth Solutions,109002059,NET45,4587,ar@bluthsolutions.example,US,True,2022-08-21,True
VEND-00019,Sterling Systems,180484149,DUE_ON_RECEIPT,3492,ar@sterlingsystems.example,US,False,2023-02-17,True
VEND-00020,Tyrell Partners,582291106,NET60,6772,ar@tyrellpartners.example,US,False,2023-05-14,True
VEND-00021,Hooli Partners,633488467,NET45,9829,ar@hoolipartners.example,US,True,2023-07-08,True
VEND-00022,Soylent Industries,968989715,NET30,4497,ar@soylentindustries.example,US,False,2023-12-03,True
VEND-00023,Acme Solutions,239086575,NET45,7263,ar@acmesolutions.example,US,False,2021-05-30,True
VEND-00024,Dunder Inc,394959742,NET60,8632,ar@dunderinc.example,US,False,2020-05-25,True
VEND-00025,Bluth Systems,397410281,NET30,5458,ar@bluthsystems.example,US,False,2022-08-12,True
VEND-00026,Acme Industries,602852199,NET45,7859,ar@acmeindustries.example,US,False,2024-04-17,True
VEND-00027,Hooli Holdings,206752560,NET30,5244,ar@hooliholdings.example,US,True,2024-06-26,True
VEND-00028,Tyrell Industries,556112776,NET60,9590,ar@tyrellindustries.example,US,False,2023-05-22,True
VEND-00029,Vandelay Systems,,NET30,1033,ar@vandelaysystems.example,US,False,2021-07-31,True
VEND-00030,Cyberdyne Systems,897566294,NET30,5391,ar@cyberdynesystems.example,US,False,2020-08-19,True
VEND-00031,Stark LLC,554151474,DUE_ON_RECEIPT,5708,ar@starkllc.example,US,True,2019-11-29,True
VEND-00032,Krusty Group,220155690,NET45,6649,ar@krustygroup.example,US,False,2021-11-30,True
VEND-00033,Vandelay Holdings,803481597,NET60,3904,ar@vandelayholdings.example,US,True,2019-01-02,True
VEND-00034,Sterling Inc,655608054,NET30,4245,ar@sterlinginc.example,US,True,2021-04-23,True
VEND-00035,Dunder Group,825115443,NET30,2213,ar@dundergroup.example,US,True,2024-10-10,True
VEND-00036,Sterling Holdings,823651642,DUE_ON_RECEIPT,9390,ar@sterlingholdings.example,US,True,2023-10-10,True
VEND-00037,Sterling Systems,848734299,NET60,3072,ar@sterlingsystems.example,US,True,2024-04-02,True
VEND-00038,Bluth Enterprises,680588000,NET30,2897,ar@bluthenterprises.example,US,False,2023-10-26,True
VEND-00039,Krusty Corp,196742473,DUE_ON_RECEIPT,4697,ar@krustycorp.example,US,True,2022-03-14,True
VEND-00040,Dunder Inc,342802785,NET60,2953,ar@dunderinc.example,US,True,2020-12-15,True
VEND-00041,Dunder Corp.,627161402,DUE_ON_RECEIPT,6004,ar@dundercorp.example,US,True,2019-04-22,True
