customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Dunder Industries,business,526317005,contact1@dunderindustries.example,(687) 587-8434,US,20453.07,2025-08-22,True
CUST-00002,Pied Holdings,business,208151845,contact2@piedholdings.example,(254) 421-4229,US,1394.67,2023-07-31,True
CUST-00003,Initech Holdings,business,941294811,contact3@initechholdings.example,(265) 856-2586,US,5227.62,2021-02-04,True
CUST-00004,Initech Group,business,860917932,contact4@initechgroup.example,(806) 207-3572,US,3602.66,2022-06-06,True
CUST-00005,Krusty Industries,business,609747212,contact5@krustyindustries.example,(983) 974-8381,US,2850.06,2020-05-24,True
CUST-00006,Umbrella Inc,business,121633007,contact6@umbrellainc.example,(891) 952-2772,US,4500.76,2022-10-27,True
CUST-00007,Cyberdyne Solutions,business,278146912,contact7@cyberdynesolutions.example,(613) 850-2186,US,6016.08,2022-11-24,True
CUST-00008,Wayne Industries,business,312629762,contact8@wayneindustries.example,(442) 717-5859,US,5687.78,2024-09-11,True
CUST-00009,Hooli LLC,business,455937465,contact9@hoolillc.example,(736) 235-1383,US,11853.19,2025-10-07,True
CUST-00010,Wayne Inc,business,861235413,contact10@wayneinc.example,(402) 574-3181,US,14087.51,2020-11-10,True
CUST-00011,Dunder Inc,business,103331358,contact11@dunderinc.example,(334) 350-5521,US,14812.08,2020-02-05,True
CUST-00012,Wayne Holdings,business,240156451,contact12@wayneholdings.example,(546) 393-4938,US,5675.54,2022-10-24,True
CUST-00013,Initech LLC,business,851266631,contact13@initechllc.example,(518) 512-8913,US,10699.83,2025-07-04,True
CUST-00014,Umbrella LLC,business,416070949,contact14@umbrellallc.example,(781) 296-3009,US,6515.63,2021-07-11,True
CUST-00015,Globex Industries,business,483491568,contact15@globexindustries.example,(767) 978-6024,US,5220.28,2020-08-20,True
CUST-00016,Soylent LLC,business,146403425,contact16@soylentllc.example,(526) 227-1805,US,10123.55,2022-03-03,True
CUST-00017,Bluth Enterprises,business,163679896,contact17@bluthenterprises.example,(534) 927-7395,US,1248.55,2023-01-13,True
CUST-00018,Pied Systems,business,110191282,contact18@piedsystems.example,(628) 336-3786,US,2172.48,2025-04-16,True
CUST-00019,Hooli Partners,business,350301155,contact19@hoolipartners.example,(661) 497-6245,US,2047.08,2020-04-17,True
CUST-00020,Pied Partners,business,217234217,contact20@piedpartners.example,(836) 276-1370,US,7871.74,2021-12-26,True
CUST-00021,Acme Industries,business,543314287,contact21@acmeindustries.example,(460) 827-6984,US,9925.22,2025-12-17,True
CUST-00022,Umbrella Holdings,business,312384326,contact22@umbrellaholdings.example,(531) 731-6135,US,3699.59,2020-04-08,True
CUST-00023,Initech Holdings,business,305661268,contact23@initechholdings.example,(719) 775-7450,US,4925.07,2020-11-30,True
CUST-00024,Stark LLC,business,435714151,contact24@starkllc.example,(932) 486-8543,US,6479.35,2023-05-24,True
CUST-00025,Soylent Corp,business,856775561,contact25@soylentcorp.example,(885) 260-2389,US,18904.02,2022-02-09,True
