employee_id,employee_name,department,hire_date,termination_date,ytd_gross_pay,ytd_taxes_withheld,last_pay_date,is_active
EMP-00001,Riley Miller,HR,2018-08-21,,59785.67,13535.97,2025-12-30,True
EMP-00002,Quinn Jackson,Finance,2026-02-14,,55296.03,51594.09,2025-11-16,True
EMP-00003,Avery Lee,Ops,2019-09-16,,123946.5,19217.65,2025-12-18,True
EMP-00004,Morgan Thomas,Ops,2019-04-14,,78821.42,14579.61,2025-11-06,True
EMP-00005,Dakota Singh,Sales,2021-04-05,,102513.02,22871.07,2025-12-02,True
EMP-00006,Casey Patel,Sales,2018-02-15,,27717.92,15285.35,2025-11-30,True
EMP-00007,Dakota Lee,Sales,2017-11-15,,145204.39,6061.23,2025-11-27,True
EMP-00008,Quinn Thomas,HR,2023-11-28,,26846.05,16643.96,2025-11-14,True
EMP-00009,Taylor Garcia,Ops,2024-10-03,,33554.38,6151.7,2025-11-12,True
EMP-00010,Skyler Anderson,Finance,2022-07-23,,70736.95,16419.87,2025-11-11,True
EMP-00011,Riley Brown,Engineering,2021-05-22,,63992.43,13931.53,2025-12-06,True
EMP-00012,Morgan Wilson,Ops,2020-01-06,,12710.9,11819.8,2025-12-21,True
EMP-00013,Avery Jackson,HR,2015-11-15,,64061.31,30937.06,2025-11-24,True
EMP-00014,Avery Jackson,Finance,2023-02-22,,28939.46,8132.93,2025-11-08,True
EMP-00015,Morgan Miller,Marketing,2015-01-09,,212329.22,16783.86,2025-12-29,True
EMP-00016,Riley Moore,Ops,2016-11-09,,19042.15,11671.63,2025-11-27,True
EMP-00017,Sam Wilson,Marketing,2023-07-09,,91456.48,10016.44,2025-12-08,True
EMP-00018,Jamie Wilson,Finance,2017-05-02,,58741.35,10566.19,2025-11-29,True
EMP-00019,Quinn Wilson,Ops,2025-05-09,,48031.13,12964.7,2025-11-24,True
EMP-00020,Dakota Jackson,Finance,2023-05-03,,17994.04,12883.09,2025-11-18,True
EMP-00021,Reese Taylor,Engineering,2024-03-01,,36607.98,19532.7,2025-11-29,True
EMP-00022,Skyler Jackson,Sales,2022-10-26,,96689.33,18735.67,2025-12-31,True
EMP-00023,Dakota Garcia,Sales,2015-07-18,,54903.5,22647.68,2025-11-08,True
EMP-00024,Dakota Patel,Marketing,2021-06-04,,164794.1,13362.51,2025-11-07,True
EMP-00025,Reese Miller,Ops,2021-04-22,,26535.24,50131.03,2025-12-08,True
EMP-00026,Alex Brown,Ops,2024-07-02,,51799.7,6970.76,2025-11-05,True
EMP-00027,Skyler Davis,Marketing,2023-06-16,,42213.38,4943.62,2025-11-08,True
EMP-00028,Jordan Singh,Ops,2017-08-08,,38882.16,8701.72,2025-12-21,True
EMP-00029,Sam Lee,Sales,2016-10-20,,36658.43,28789.79,2025-11-23,True
EMP-00030,Morgan Wilson,Sales,2025-12-03,,54620.83,45537.54,2025-12-24,True
EMP-00031,Sam Jackson,HR,2025-06-11,,35928.54,13250.78,2025-12-04,True
EMP-00032,Sam Taylor,Engineering,2021-07-09,,55724.69,6933.97,2025-12-17,True
EMP-00033,Skyler Lee,Sales,2021-10-14,,111500.27,13465.2,2025-12-26,True
EMP-00034,Taylor Jackson,Finance,2020-05-10,,60667.16,10012.3,2025-11-14,True
EMP-00035,Sam Wilson,Marketing,2021-04-05,,66082.27,10646.12,2025-12-10,True
EMP-00036,Avery Miller,Engineering,2016-01-12,,62206.37,11339.76,2025-12-19,True
EMP-00037,Sam Brown,Engineering,2015-07-19,,68539.43,3575.87,2025-11-20,True
EMP-00038,Jordan Taylor,Engineering,2017-08-16,,74678.56,28867.56,2025-12-23,True
EMP-00039,Sam Taylor,Ops,2020-04-18,,39900.0,11455.86,2025-12-24,True
EMP-00040,Alex Wilson,HR,2022-05-29,,105249.43,11577.06,2025-11-10,True
EMP-00041,Alex Taylor,Marketing,2020-02-29,,66161.3,10903.39,2025-11-23,True
EMP-00042,Reese Wilson,Marketing,2015-08-26,,20870.44,34164.8,2025-11-03,True
EMP-00043,Alex Wilson,HR,2017-10-30,,44377.59,17381.88,2025-12-11,True
EMP-00044,Taylor Anderson,Engineering,2020-03-25,,51527.39,7244.5,2025-12-06,True
EMP-00045,Taylor Jackson,Sales,2018-10-13,,108080.47,14533.5,2025-11-11,True
EMP-00046,Jordan Anderson,Ops,2016-01-31,,90675.56,22192.02,2025-11-21,True
EMP-00047,Morgan Brown,Finance,2021-04-29,,62764.62,13942.25,2025-11-18,True
EMP-00048,Riley Lee,HR,2019-12-06,,48517.41,23953.47,2025-11-02,True
EMP-00049,Morgan Taylor,Marketing,2015-11-29,,69599.33,17231.21,2025-11-03,True
