vendor_id,vendor_name,tax_id,payment_terms,bank_account_last4,contact_email,country,is_1099,created_at,is_active
VEND-00001,Acme Holdings,486995646,NET60,2155,ar@acmeholdings.example,US,True,2020-04-10,True
VEND-00002,Stark Solutions,514831933,NET45,8378,ar@starksolutions.example,US,False,2025-05-26,True
VEND-00003,Stark LLC,664006313,DUE_ON_RECEIPT,5553,ar@starkllc.example,US,True,2025-12-11,True
VEND-00004,Bluth Systems,512857981,NET30,9004,ar@bluthsystems.example,US,True,2022-09-23,True
VEND-00005,Massive Corp,399543174,NET45,7406,ar@massivecorp.example,US,False,2024-11-14,True
VEND-00006,Hooli Inc,199112306,NET45,4631,ar@hooliinc.example,US,False,2023-05-30,True
VEND-00007,Hooli Solutions,716752870,DUE_ON_RECEIPT,3322,ar@hoolisolutions.example,US,True,2019-06-14,True
VEND-00008,Soylent Group,216529361,NET45,2922,ar@soylentgroup.example,US,True,2025-05-03,True
VEND-00009,Initech Solutions,647685081,NET60,9887,ar@initechsolutions.example,US,False,2024-10-02,True
VEND-00010,Pied Industries,969745439,NET60,5664,ar@piedindustries.example,US,True,2022-01-16,True
VEND-00011,Cyberdyne Group,911997982,NET60,8570,ar@cyberdynegroup.example,US,True,2019-04-03,True
VEND-00012,Soylent Systems,241697176,NET30,5980,ar@soylentsystems.example,US,False,2021-11-13,True
VEND-00013,Bluth Solutions,913823738,DUE_ON_RECEIPT,7115,ar@bluthsolutions.example,US,False,2022-12-12,True
VEND-00014,Stark Inc,455125720,NET60,8624,ar@starkinc.example,US,True,2023-01-17,True
VEND-00015,Cyberdyne Industries,749734180,NET30,5532,ar@cyberdyneindustries.example,US,False,2024-08-20,True
VEND-00016,Soylent Group,123732749,NET60,4870,ar@soylentgroup.example,US,False,2019-02-27,True
VEND-00017,Wayne Inc,503948599,NET45,5967,ar@wayneinc.example,US,True,2021-04-19,True
VEND-00018,Sterling Industries,198452159,NET30,3041,ar@sterlingindustries.example,US,True,2019-07-13,True
VEND-00019,Hooli LLC,588779258,NET45,4046,ar@hoolillc.example,US,True,2025-11-30,True
VEND-00020,Cyberdyne Holdings,285485695,NET45,9153,ar@cyberdyneholdings.example,US,False,2020-11-18,True
VEND-00021,Globex Partners,791506364,NET45,6964,ar@globexpartners.example,US,True,2024-08-26,True
VEND-00022,Krusty LLC,644476689,NET60,5330,ar@krustyllc.example,US,True,2020-07-28,True
VEND-00023,Acme Solutions,303059181,DUE_ON_RECEIPT,8708,ar@acmesolutions.example,US,True,2019-11-10,True
VEND-00024,Pied Holdings,558908991,NET45,6065,ar@piedholdings.example,US,True,2021-06-14,True
VEND-00025,Globex Partners,934429350,NET30,6438,ar@globexpartners.example,US,True,2023-04-29,True
VEND-00026,Pied Corp,279991627,NET60,9983,ar@piedcorp.example,US,False,2022-03-09,True
VEND-00027,Vandelay Industries,860187793,NET60,2056,ar@vandelayindustries.example,US,True,2025-09-25,True
VEND-00028,Wayne LLC,216112430,NET60,8173,ar@waynellc.example,US,False,2024-11-14,True
