customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Soylent Group,business,983669920,contact1@soylentgroup.example,(526) 811-1880,US,34311.34,2024-12-25,True
CUST-00002,Cyberdyne Enterprises,business,210629584,contact2@cyberdyneenterprises.example,(959) 274-8554,US,2715.14,2020-06-09,True
CUST-00003,Globex Industries,business,469554539,contact3@globexindustries.example,(792) 614-1904,US,4304.13,2020-04-28,True
CUST-00004,Wonka Group,business,257667927,contact4@wonkagroup.example,(824) 706-4810,US,22305.14,2020-03-29,True
CUST-00005,Globex Group,business,177984750,contact5@globexgroup.example,(708) 400-1568,US,3598.58,2024-05-02,True
CUST-00006,Wayne Group,business,564122298,contact6@waynegroup.example,(627) 799-7557,US,9603.4,2024-06-03,True
CUST-00007,Stark Inc,business,884153605,contact7@starkinc.example,(930) 654-1105,US,2269.94,2025-11-28,True
CUST-00008,Tyrell Inc,business,450491045,contact8@tyrellinc.example,(669) 953-2093,US,3769.5,2021-07-29,True
CUST-00009,Hooli Solutions,business,205461900,contact9@hoolisolutions.example,(241) 462-7880,US,3704.46,2024-06-29,True
CUST-00010,Krusty Systems,business,773410885,contact10@krustysystems.example,(655) 592-8106,US,2867.69,2023-04-24,True
CUST-00011,Soylent Corp,business,579113426,contact11@soylentcorp.example,(879) 838-9254,US,3797.96,2023-12-01,True
CUST-00012,Wayne Solutions,business,994423905,contact12@waynesolutions.example,(647) 790-7429,US,2958.31,2020-12-16,True
CUST-00013,Wonka Inc,business,185997433,contact13@wonkainc.example,(949) 518-8840,US,1177.23,2025-01-04,True
CUST-00014,Tyrell Group,business,974325387,contact14@tyrellgroup.example,(995) 700-2867,US,8623.26,2020-07-27,True
CUST-00015,Cyberdyne Industries,business,187204974,contact15@cyberdyneindustries.example,(458) 684-9875,US,8832.24,2023-11-15,True
CUST-00016,Initech Inc,business,126323072,contact16@initechinc.example,(787) 296-8329,US,1655.37,2021-01-06,True
CUST-00017,Massive Enterprises,business,102099509,contact17@massiveenterprises.example,(993) 684-6118,US,1422.71,2020-07-09,True
CUST-00018,Globex Enterprises,business,959689897,contact18@globexenterprises.example,(811) 365-9199,US,20294.9,2021-11-03,True
CUST-00019,Acme Inc,business,543193385,contact19@acmeinc.example,(644) 633-3962,US,5366.11,2023-02-21,True
CUST-00020,Cyberdyne Partners,business,316952190,contact20@cyberdynepartners.example,(943) 996-9909,US,9917.93,2022-07-30,True
CUST-00021,Bluth Holdings,business,579608754,contact21@bluthholdings.example,(365) 572-1511,US,5772.19,2023-02-15,True
CUST-00022,Soylent Industries,business,790587259,contact22@soylentindustries.example,(328) 913-6548,US,10023.31,2022-02-17,True
CUST-00023,Globex Holdings,business,316687690,contact23@globexholdings.example,(743) 735-6815,US,3230.97,2024-08-27,True
CUST-00024,Umbrella Partners,business,418813000,contact24@umbrellapartners.example,(848) 433-9018,US,18018.29,2025-01-10,True
CUST-00025,Wayne Corp,business,920855159,contact25@waynecorp.example,(435) 984-7006,US,6450.58,2021-03-08,True
CUST-00026,Tyrell Enterprises,business,632517361,contact26@tyrellenterprises.example,(370) 225-8191,US,2603.85,2022-01-16,True
CUST-00027,Globex Corp,business,179078052,contact27@globexcorp.example,(831) 698-3913,US,23770.04,2020-06-29,True
CUST-00028,Vandelay LLC,business,527219264,contact28@vandelayllc.example,(233) 992-9198,US,3667.89,2022-12-24,True
