vendor_id,vendor_name,tax_id,payment_terms,bank_account_last4,contact_email,country,is_1099,created_at,is_active
VEND-00001,Cyberdyne Enterprises,267215440,NET45,9313,ar@cyberdyneenterprises.example,US,False,2020-07-30,True
VEND-00002,Soylent Inc,971952598,DUE_ON_RECEIPT,8879,ar@soylentinc.example,US,True,2019-02-11,True
VEND-00003,Umbrella LLC,471942934,NET60,3331,ar@umbrellallc.example,US,False,2022-01-23,True
VEND-00004,Globex Corp,105169482,DUE_ON_RECEIPT,7598,ar@globexcorp.example,US,False,2023-12-21,True
VEND-00005,Wayne LLC,393228022,NET45,3261,ar@waynellc.example,US,True,2025-06-14,True
VEND-00006,Wonka Partners,883816334,NET60,5124,ar@wonkapartners.example,US,False,2023-02-19,True
VEND-00007,Soylent Partners,747631550,NET60,2311,ar@soylentpartners.example,US,True,2022-02-16,True
VEND-00008,Umbrella Group,761644304,NET60,7100,ar@umbrellagroup.example,US,False,2024-09-30,True
VEND-00009,Initech Partners,146575538,NET45,2081,ar@initechpartners.example,US,False,2020-07-26,True
VEND-00010,Cyberdyne Partners,191569128,NET30,4231,ar@cyberdynepartners.example,US,True,2021-06-02,True
VEND-00011,Bluth LLC,924776284,DUE_ON_RECEIPT,2525,ar@bluthllc.example,US,False,2019-01-01,True
VEND-00012,Umbrella Solutions,709360822,NET45,6768,ar@umbrellasolutions.example,US,False,2025-09-23,True
VEND-00013,Acme Holdings,119342777,NET30,8283,ar@acmeholdings.example,US,False,2021-07-06,True
VEND-00014,Hooli Industries,,NET45,3478,ar@hooliindustries.example,US,False,2021-06-28,True
VEND-00015,Pied Corp,482516666,DUE_ON_RECEIPT,4885,ar@piedcorp.example,US,True,2024-08-04,True
VEND-00016,Umbrella Industries,984233689,NET45,3840,ar@umbrellaindustries.example,US,True,2025-08-31,True
VEND-00017,Initech Solutions,106531373,NET45,8733,ar@initechsolutions.example,US,True,2023-06-22,True
VEND-00018,Stark Group,444254090,NET60,7792,ar@starkgroup.example,US,True,2023-12-11,True
VEND-00019,Cyberdyne Partners,312696061,NET30,9315,ar@cyberdynepartners.example,US,False,2020-05-04,True
VEND-00020,Cyberdyne Industries,989884906,NET30,2103,ar@cyberdyneindustries.example,US,False,2024-09-04,True
VEND-00021,Tyrell Solutions,501770350,NET45,8085,ar@tyrellsolutions.example,US,True,2022-01-03,True
VEND-00022,Wonka Enterprises,647372885,DUE_ON_RECEIPT,7790,ar@wonkaenterprises.example,US,False,2023-09-23,True
VEND-00023,Pied Systems,370667255,NET30,2098,ar@piedsystems.example,US,False,2021-11-10,True
VEND-00024,Pied Holdings,377646218,DUE_ON_RECEIPT,7237,ar@piedholdings.example,US,True,2025-12-13,True
VEND-00025,Pied Enterprises,751838548,DUE_ON_RECEIPT,4865,ar@piedenterprises.example,US,False,2021-04-20,True
VEND-00026,Krusty Inc,830614872,NET60,6393,ar@krustyinc.example,US,False,2021-07-31,True
VEND-00027,Wayne Partners,764789755,NET30,4350,ar@waynepartners.example,US,False,2021-09-27,True
VEND-00028,Dunder Systems,213360951,NET45,6339,ar@dundersystems.example,US,False,2025-08-03,True
VEND-00029,Umbrella Inc,637442612,DUE_ON_RECEIPT,4039,ar@umbrellainc.example,US,True,2022-05-04,True
VEND-00030,Globex Inc,922536546,NET30,8543,ar@globexinc.example,US,False,2025-12-18,True
VEND-00031,Pied Enterprises,853076857,NET30,4734,ar@piedenterprises.example,US,True,2019-07-09,True
VEND-00032,Umbrella Solutions,844183015,NET60,1303,ar@umbrellasolutions.example,US,False,2024-10-21,True
VEND-00033,Wonka Holdings,702073070,DUE_ON_RECEIPT,7011,ar@wonkaholdings.example,US,False,2019-10-10,True
VEND-00034,Globex Group,164607461,NET30,5706,ar@globexgroup.example,US,True,2022-06-03,True
VEND-00035,Wonka Partners,450283480,NET30,6307,ar@wonkapartners.example,US,True,2020-11-13,True
VEND-00036,Vandelay LLC,784505040,DUE_ON_RECEIPT,1289,ar@vandelayllc.example,US,False,2023-06-18,True
VEND-00037,Massive Systems,537746847,NET45,9886,ar@massivesystems.example,US,True,2023-01-19,True
VEND-00038,Sterling LLC,692121065,NET60,4614,ar@sterlingllc.example,US,True,2025-03-27,True
VEND-00039,Bluth Enterprises,439185239,NET30,7361,ar@bluthenterprises.example,US,False,2023-02-22,True
VEND-00040,Sterling Inc,462408117,NET60,4985,ar@sterlinginc.example,US,False,2022-06-27,True
