customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Sterling LLC,business,367242244,contact1@sterlingllc.example,(714) 558-6826,US,8042.5,2020-08-15,True
CUST-00002,Krusty Inc,business,103163540,contact2@krustyinc.example,(763) 849-8929,US,14771.09,2022-10-25,True
CUST-00003,Vandelay Corp,business,497634109,contact3@vandelaycorp.example,(470) 522-2331,US,2394.73,2022-02-01,True
CUST-00004,Soylent Partners,business,135549608,contact4@soylentpartners.example,(747) 767-1823,US,6744.62,2022-05-20,True
CUST-00005,Stark Solutions,business,848398849,contact5@starksolutions.example,(473) 530-9656,US,2212.56,2024-06-11,True
CUST-00006,Tyrell LLC,business,408612492,contact6@tyrellllc.example,(867) 224-5815,US,1756.78,2025-12-21,True
CUST-00007,Cyberdyne Group,business,416257078,contact7@cyberdynegroup.example,(608) 400-6004,US,2849.79,2020-01-27,True
CUST-00008,Wonka Systems,business,268392190,contact8@wonkasystems.example,(690) 896-1972,US,3856.34,2024-02-28,True
CUST-00009,Tyrell Partners,business,523902148,contact9@tyrellpartners.example,(481) 709-8684,US,14009.75,2023-04-10,True
CUST-00010,Stark Corp,business,929176224,contact10@starkcorp.example,(371) 899-8539,US,8696.57,2020-10-12,True
CUST-00011,Pied Inc,business,306883196,contact11@piedinc.example,(598) 558-9393,US,8308.22,2025-03-19,True
CUST-00012,Wonka Solutions,business,451446778,contact12@wonkasolutions.example,(427) 950-2128,US,957.93,2020-03-25,True
CUST-00013,Bluth LLC,business,689681387,contact13@bluthllc.example,(369) 231-7555,US,3538.28,2022-05-20,True
CUST-00014,Wonka Group,business,752238020,contact14@wonkagroup.example,(303) 355-1824,US,9995.39,2023-06-17,True
CUST-00015,Sterling LLC,business,992881151,contact15@sterlingllc.example,(279) 929-3965,US,12405.89,2022-06-13,True
CUST-00016,Cyberdyne Solutions,business,986489585,contact16@cyberdynesolutions.example,(928) 831-8196,US,4049.72,2025-01-12,True
CUST-00017,Massive Enterprises,business,494985613,contact17@massiveenterprises.example,(802) 343-8983,US,5853.82,2020-01-01,True
CUST-00018,Dunder Holdings,business,179186936,contact18@dunderholdings.example,(417) 521-2527,US,10368.12,2024-10-01,True
CUST-00019,Vandelay Industries,business,734129849,contact19@vandelayindustries.example,(276) 458-3182,US,5775.62,2024-04-17,True
CUST-00020,Initech Enterprises,business,449094124,contact20@initechenterprises.example,(410) 232-6147,US,6730.16,2021-04-02,True
CUST-00021,Wonka Solutions,business,663045637,contact21@wonkasolutions.example,(938) 894-7259,US,20369.31,2024-03-10,True
CUST-00022,Stark Solutions,business,976794730,contact22@starksolutions.example,(916) 871-8717,US,2346.43,2025-12-15,True
CUST-00023,Stark Group,business,908670851,contact23@starkgroup.example,(840) 314-3658,US,5196.83,2020-04-13,True
CUST-00024,Bluth LLC,business,515094353,contact24@bluthllc.example,(349) 615-6156,US,14280.52,2020-05-24,True
CUST-00025,Soylent Holdings,business,665646793,contact25@soylentholdings.example,(750) 969-1872,US,10274.04,2021-03-21,True
CUST-00026,Globex Inc,business,456689639,contact26@globexinc.example,(471) 742-6665,US,10583.3,2022-01-18,True
CUST-00027,Pied Corp,business,786554108,contact27@piedcorp.example,(847) 613-4377,US,1010.78,2024-03-13,True
CUST-00028,Soylent Solutions,business,125574586,contact28@soylentsolutions.example,(610) 495-1533,US,5170.14,2024-07-07,True
CUST-00029,Dunder LLC,business,160654947,contact29@dunderllc.example,(474) 679-6135,US,15484.32,2020-04-20,True
CUST-00030,Globex Systems,business,173585375,contact30@globexsystems.example,(485) 836-1338,US,4473.79,2021-11-06,True
CUST-00031,Sterling Industries,business,622549742,contact31@sterlingindustries.example,(427) 279-6255,US,5706.52,2025-01-03,True
CUST-00032,Wayne Industries,business,709291523,contact32@wayneindustries.example,(936) 766-4026,US,5317.25,2022-05-11,True
CUST-00033,Massive Systems,business,595372995,contact33@massivesystems.example,(349) 838-7075,US,6144.83,2023-05-21,True
CUST-00034,Soylent LLC,business,230912770,contact34@soylentllc.example,(276) 477-6510,US,788.6,2024-06-09,True
CUST-00035,Wonka Corp,business,333456498,contact35@wonkacorp.example,(626) 840-3384,US,3393.03,2024-11-21,True
CUST-00036,Massive LLC,business,960700041,contact36@massivellc.example,(234) 669-1834,US,4884.41,2022-07-18,True
CUST-00037,Tyrell Group,business,680395820,contact37@tyrellgroup.example,(467) 805-3265,US,1237.34,2025-08-10,True
CUST-00038,Globex Inc,business,704129434,contact38@globexinc.example,(258) 569-3364,US,3347.97,2023-12-05,True
CUST-00039,Bluth Corp,business,557845024,contact39@bluthcorp.example,(992) 200-2088,US,3393.98,2024-03-14,True
CUST-00040,Vandelay Group,business,924271492,contact40@vandelaygroup.example,(996) 670-6793,US,5302.96,2024-11-24,True
CUST-00041,Vandelay Systems,business,555720336,contact41@vandelaysystems.example,(506) 297-9748,US,1344.48,2024-08-30,True
CUST-00042,Hooli Systems,business,293148296,contact42@hoolisystems.example,(833) 743-6221,US,9639.34,2021-12-21,True
