customer_id,customer_name,customer_type,tax_id,email,phone,billing_country,credit_limit,created_at,is_active
CUST-00001,Acme LLC,business,957158201,contact1@acmellc.example,(821) 488-9777,US,3064.6,2020-11-13,True
CUST-00002,Umbrella Solutions,business,402534648,contact2@umbrellasolutions.example,(310) 935-8762,US,8855.15,2020-08-25,True
CUST-00003,Dunder Inc,business,513606755,contact3@dunderinc.example,(419) 983-5444,US,9629.26,2025-07-12,True
CUST-00004,Sterling Industries,business,941807784,contact4@sterlingindustries.example,(274) 733-8848,US,7554.82,2022-04-20,True
CUST-00005,Bluth Group,business,947435682,contact5@bluthgroup.example,(413) 214-3387,US,2730.82,2020-10-26,True
CUST-00006,Wonka Inc,business,972182991,contact6@wonkainc.example,(273) 318-9658,US,11590.9,2023-04-23,True
CUST-00007,Tyrell Corp,business,379177324,contact7@tyrellcorp.example,(299) 822-5726,US,3338.12,2023-01-19,True
CUST-00008,Hooli Group,business,738729705,contact8@hooligroup.example,(790) 970-1624,US,4192.79,2021-04-16,True
CUST-00009,Krusty Industries,business,944107212,contact9@krustyindustries.example,(497) 825-2373,US,3189.38,2024-04-10,True
CUST-00010,Stark Enterprises,business,922836533,contact10@starkenterprises.example,(794) 989-7915,US,4087.61,2023-11-17,True
CUST-00011,Krusty Holdings,business,527519868,contact11@krustyholdings.example,(962) 631-2881,US,8390.59,2023-10-09,True
CUST-00012,Acme Holdings,business,513617845,contact12@acmeholdings.example,(253) 666-9247,US,6542.21,2022-01-14,True
CUST-00013,Sterling LLC,business,326243569,contact13@sterlingllc.example,(374) 242-2813,US,1460.55,2023-01-05,True
CUST-00014,Krusty Enterprises,business,126211143,contact14@krustyenterprises.example,(435) 983-6890,US,12170.41,2020-09-16,True
CUST-00015,Wayne Group,business,707991383,contact15@waynegroup.example,(812) 667-7217,US,1564.3,2025-07-23,True
CUST-00016,Sterling Holdings,business,344341008,contact16@sterlingholdings.example,(698) 302-6168,US,11689.06,2024-04-18,True
CUST-00017,Wonka Corp,business,985111339,contact17@wonkacorp.example,(228) 536-3647,US,4370.57,2020-02-28,True
CUST-00018,Vandelay Inc,business,512537647,contact18@vandelayinc.example,(692) 753-3638,US,8568.04,2025-04-23,True
CUST-00019,Pied Solutions,business,923748763,contact19@piedsolutions.example,(405) 355-6960,US,18187.73,2024-07-29,True
CUST-00020,Globex Partners,business,136227461,contact20@globexpartners.example,(883) 436-3198,US,1855.76,2023-01-22,True
CUST-00021,Hooli Systems,business,312402615,contact21@hoolisystems.example,(533) 413-8835,US,14723.97,2021-08-20,True
CUST-00022,Tyrell Enterprises,business,179481802,contact22@tyrellenterprises.example,(349) 265-4846,US,11428.45,2025-12-23,True
CUST-00023,Umbrella Enterprises,business,413011583,contact23@umbrellaenterprises.example,(504) 475-1148,US,3656.37,2022-10-14,True
CUST-00024,Soylent Systems,business,521188022,contact24@soylentsystems.example,(465) 501-9442,US,5806.42,2023-01-04,True
CUST-00025,Cyberdyne Partners,business,185400791,contact25@cyberdynepartners.example,(400) 992-9340,US,8210.79,2020-03-22,True
CUST-00026,Pied Corp,business,373092291,contact26@piedcorp.example,(900) 389-3771,US,6766.33,2024-03-11,True
CUST-00027,Hooli Systems,business,322872350,contact27@hoolisystems.example,(787) 930-7831,US,9947.9,2023-05-06,True
CUST-00028,Cyberdyne Solutions,business,302068716,contact28@cyberdynesolutions.example,(687) 387-7956,US,4441.63,2025-11-18,True
CUST-00029,Dunder Industries,business,925533875,contact29@dunderindustries.example,(721) 512-7044,US,1805.99,2022-11-17,True
CUST-00030,Stark Solutions,business,899145354,contact30@starksolutions.example,(360) 724-4973,US,14105.1,2021-04-03,True
CUST-00031,Cyberdyne Systems,business,697504687,contact31@cyberdynesystems.example,(880) 350-7650,US,3485.22,2023-08-10,True
