employee_id,employee_name,department,hire_date,termination_date,ytd_gross_pay,ytd_taxes_withheld,last_pay_date,is_active
EMP-00001,Avery Anderson,Sales,2017-12-18,,89872.3,9121.89,2025-12-26,True
EMP-00002,Avery Taylor,Sales,2016-07-20,,24140.78,13977.34,2025-11-14,True
EMP-00003,Sam Jackson,HR,2016-12-14,,187319.88,24256.7,2025-11-29,True
EMP-00004,Casey Miller,Finance,2022-01-02,,41693.11,8180.93,2025-11-15,True
EMP-00005,Riley Jackson,Ops,2022-07-22,,56845.48,7606.83,2025-12-30,True
EMP-00006,Sam Patel,Marketing,2015-08-03,,65288.34,11075.7,2025-12-25,True
EMP-00007,Quinn Garcia,Marketing,2021-12-01,,27023.31,12861.45,2025-11-04,True
EMP-00008,Jamie Brown,Finance,2018-12-04,,67919.04,30909.66,2025-12-19,True
EMP-00009,Avery Anderson,Ops,2025-05-11,,32353.65,15664.3,2025-11-09,True
EMP-00010,Jordan Singh,Sales,2021-12-14,,38981.48,10625.11,2025-12-19,True
EMP-00011,Avery Taylor,Engineering,2021-12-13,,42471.62,9364.52,2025-12-05,True
EMP-00012,Alex Brown,HR,2022-10-25,,46177.14,5487.97,2025-11-24,True
EMP-00013,Dakota Davis,Sales,2025-02-22,,28888.11,7308.3,2025-12-22,True
EMP-00014,Avery Moore,Sales,2024-05-03,,42901.93,3320.75,2025-11-29,True
EMP-00015,Avery Singh,Finance,2016-10-05,,57421.49,10087.9,2025-11-28,True
EMP-00016,Dakota Lee,Finance,2022-02-27,,61717.01,11209.44,2025-11-18,True
EMP-00017,Casey Taylor,Marketing,2019-03-14,,55565.82,16110.26,2025-12-21,True
EMP-00018,Jordan Thomas,Finance,2023-05-21,,64460.61,15803.01,2025-11-17,True
EMP-00019,Avery Wilson,Marketing,2023-11-22,,105947.82,24342.64,2025-11-16,True
EMP-00020,Morgan Patel,Engineering,2022-12-02,,43581.02,10441.28,2025-11-03,True
EMP-00021,Jamie Brown,Finance,2023-03-01,,32100.95,5536.21,2025-11-03,True
EMP-00022,Skyler Thomas,Ops,2025-07-02,,59514.08,18522.99,2025-11-21,True
EMP-00023,Alex Lee,Finance,2024-07-27,,50934.16,14474.09,2025-11-11,True
EMP-00024,Riley Lee,Marketing,2015-01-25,,69524.84,10902.33,2025-11-14,True
EMP-00025,Riley Davis,HR,2023-10-01,,56720.52,3730.69,2025-11-04,True
EMP-00026,Casey Miller,Ops,2022-02-05,,74217.46,10942.69,2025-11-04,True
EMP-00027,Skyler Moore,Marketing,2015-10-20,,87094.82,45562.74,2025-12-01,True
EMP-00028,Riley Lee,Ops,2020-06-13,,106289.17,10002.18,2025-12-12,True
EMP-00029,Avery Lee,Marketing,2025-02-04,,40685.82,14437.89,2025-11-14,True
EMP-00030,Avery Anderson,Engineering,2020-12-04,,47403.0,6112.93,2025-11-29,True
EMP-00031,Reese Taylor,Finance,2024-09-19,,36381.4,4568.57,2025-11-11,True
EMP-00032,Sam Lee,Engineering,2019-09-15,,116937.33,20731.76,2025-11-29,True
EMP-00033,Taylor Patel,Finance,2023-09-04,,69257.01,12598.05,2025-12-27,True
EMP-00034,Morgan Jackson,HR,2017-02-12,,44653.22,9121.08,2025-12-16,True
EMP-00035,Dakota Jackson,HR,2024-09-21,,67492.57,3284.1,2025-12-22,True
EMP-00036,Jamie Moore,Engineering,2018-08-21,,48438.05,16745.79,2025-12-15,True
EMP-00037,Avery Patel,Sales,2015-09-28,,106825.53,7071.52,2025-11-24,True
EMP-00038,Reese Moore,Marketing,2015-06-04,,83945.75,16864.29,2025-11-19,True
EMP-00039,Casey Davis,HR,2021-06-28,,113957.19,14007.3,2025-12-08,True
EMP-00040,Casey Moore,Marketing,2020-01-07,,48557.93,17621.98,2025-12-13,True
EMP-00041,Avery Thomas,Ops,2018-03-04,,58958.22,16201.39,2025-11-02,True
EMP-00042,Jordan Moore,Sales,2023-10-11,,34445.09,16444.69,2025-11-30,True
EMP-00043,Avery Taylor,Engineering,2018-07-07,,45535.6,16105.2,2025-12-17,True
EMP-00044,Riley Anderson,Marketing,2018-01-16,,95987.63,20518.49,2025-12-18,True
EMP-00045,Quinn Taylor,Engineering,2024-03-26,,77543.95,7277.43,2025-11-27,True
EMP-00046,Quinn Brown,Engineering,2025-03-31,,65951.1,18325.89,2025-12-08,True
EMP-00047,Sam Jackson,Marketing,2020-11-01,,57971.31,9093.87,2025-11-05,True
EMP-00048,Jamie Jackson,Engineering,2023-12-12,,36932.13,6811.9,2025-12-13,True
EMP-00049,Dakota Moore,HR,2016-06-11,,43947.4,11368.75,2025-11-01,True
EMP-00050,Morgan Lee,Marketing,2016-07-18,,45807.11,17104.22,2025-11-25,True
EMP-00051,Dakota Thomas,HR,2016-09-21,,114411.3,21857.93,2025-11-11,True
EMP-00052,Taylor Garcia,Ops,2025-08-22,,61944.62,16412.23,2025-11-09,True
EMP-00053,Avery Lee,Marketing,2021-03-12,,29769.53,16601.81,2025-12-17,True
EMP-00054,Quinn Anderson,Engineering,2025-02-01,,83405.71,8623.33,2025-11-01,True
EMP-00055,Riley Singh,Sales,2019-01-16,,59666.92,15997.94,2025-12-08,True
EMP-00056,Morgan Taylor,HR,2015-10-30,,29730.98,14068.1,2025-12-28,True
EMP-00057,Skyler Taylor,HR,2015-06-10,,47262.38,8833.28,2025-11-11,True
EMP-00058,Riley Anderson,Ops,2018-04-27,,188919.44,12604.78,2025-11-17,True
EMP-00059,Skyler Brown,Ops,2024-08-10,,21733.63,12988.9,2025-12-20,True
EMP-00060,Taylor Lee,HR,2024-06-30,,59640.21,18856.44,2025-11-21,True
EMP-00061,Reese Singh,Sales,2020-02-06,,93706.47,13960.89,2025-11-30,True
EMP-00062,Taylor Wilson,Sales,2020-08-20,,109516.65,11846.72,2025-11-13,True
EMP-00063,Quinn Garcia,Engineering,2022-05-17,,169072.69,18938.87,2025-12-08,True
EMP-00064,Morgan Patel,Engineering,2025-09-04,,66879.33,11300.96,2025-12-08,True
